,RecordID,First Name,Last Name,Sex,Age,Occupation,Country of Birth,Education,Salary,Email,Years of Experience,Avg Salary for Occupation,State,Satisfaction Score,Work Location
170,171,Kathy,Chambers,Female,46,Biotechnologist,Zambia,Graduate,137472,kathy@yahoo.com,17,168628,Pennsylvania,3,Hybrid
171,172,Caroline,Murray,Female,40,Human Resources Manager,Saint Kitts and Nevis,Masters,171099,caroline@myspace.com,9,131944,Kentucky,8,On Site
172,173,Tammy,Ramos,Female,44,Firefighter,Nepal,Masters,162705,tammy@msn.com,15,58191,Wyoming,6,Remote
173,174,Perry,Adams,Male,24,Human Resources Manager,Guyana,Doctorate,263765,perry@comcast.net,2,46834,Wisconsin,9,Hybrid
174,175,Darren,Wilson,Male,48,Financial Planner,Ecuador,BA/BS,123530,darren@myspace.com,18,153965,Illinois,3,On Site
175,176,Joshua,Moore,Male,62,Journalist,Jordan,Graduate,135096,joshua@yahoo.com,18,38563,Alaska,7,Remote
176,177,Matthew,Scott,Male,41,Firefighter,France,Masters,178582,matthew@lycos.net,14,104893,Wisconsin,4,Remote
177,178,Kathryn,Howell,Female,41,Graphic Designer,Saint Martin,BA/BS,100551,kathryn@yahoo.com,17,219705,Delaware,10,Remote
178,179,Carlos,Gonzalez,Male,34,Data Analyst,Slovenia,HS,51620,carlos@gmail.com,7,86532,Montana,6,Hybrid
179,180,Matthew,Anthony,Male,39,Physical Therapist Assistant,Kuwait,Graduate,161779,matthew@yahoo.com,8,180794,Hawaii,1,On Site
180,181,Thomas,Lewis,Male,33,Sales Manager,Sri Lanka,Doctorate,214431,thomas@yahoo.com,6,215391,Arkansas,8,Hybrid
181,182,Danny,Singleton,Male,47,UX Designer,Hungary,Doctorate,381003,danny@gmail.com,15,93333,Alabama,5,Remote
182,183,Melinda,Williams,Female,31,Professor,Moldova,HS,56675,melinda@comcast.net,8,102572,New Hampshire,6,Remote
183,184,Kevin,Welch,Male,51,Pediatrician,Japan,BA/BS,67068,kevin@fios.net,20,190290,Ohio,3,Remote
184,185,Jesus,Peterson,Male,42,Financial Analyst,Syrian Arab Republic,BA/BS,133517,jesus@fios.net,11,118515,Louisiana,2,On Site
185,186,Melissa,Pierce,Female,32,Physician,Vietnam,Masters,181708,melissa@gmail.com,7,49934,Mississippi,6,On Site
186,187,Susan,Turner,Female,24,Professor,Taiwan,GED,46032,susan@yahoo.com,5,46754,Minnesota,10,Remote
187,188,David,Allen,Male,39,Pediatrician,Cyprus,HS,57557,david@comcast.net,8,112017,Tennessee,8,On Site
188,189,Martin,Schmidt,Male,36,Physical Therapist Assistant,Western Sahara,Doctorate,190981,martin@yahoo.com,7,216807,Missouri,9,On Site
189,190,Rebecca,Rogers,Female,35,IT Manager,Vanuatu,Masters,171844,rebecca@msn.com,9,142999,Mississippi,10,On Site
190,191,Kyle,Lewis,Male,23,Professor,Uruguay,Graduate,132240,kyle@lycos.net,3,61557,Colorado,5,Remote
191,192,Shannon,Ayala,Male,43,Electrician,Kyrgyz Republic,Graduate,137771,shannon@lycos.net,18,149842,Pennsylvania,2,Hybrid
192,193,James,Rodriguez,Male,25,Veterinarian,Finland,Graduate,168095,james@yahoo.com,0,34781,Louisiana,4,Remote
193,194,Ariel,Atkinson,Female,50,Firefighter,Guinea-Bissau,GED,41692,ariel@fios.net,13,66426,Georgia,3,Remote
194,195,Jeffrey,Smith,Male,34,Marketing Analyst,Latvia,BA/BS,143697,jeffrey@comcast.net,10,136587,Utah,8,Remote
195,196,Robyn,Lynch,Female,40,Social Worker,Guyana,Masters,178698,robyn@gmail.com,8,155274,Rhode Island,3,On Site
196,197,James,Travis,Male,40,Biomedical Engineer,Angola,HS,48677,james@microsoft.net,9,54683,Pennsylvania,3,On Site
197,198,Ashley,Davis,Female,27,Pharmacy Technician,Bouvet Island (Bouvetoya),BA/BS,87001,ashley@lycos.net,5,76910,Ohio,8,Hybrid
198,199,William,Jordan,Male,45,Physical Therapist,United States Minor Outlying Islands,Doctorate,234927,william@microsoft.net,10,49510,California,2,On Site
199,200,Jean,Foster,Female,62,HR Specialist,Finland,GED,40500,jean@yahoo.com,22,164129,Oregon,9,Remote
