Record_No,TransactionID,AccountID,TransactionDate,Amount,TransactionType,First Name,Last Name,VendorID,FeeID,FeePayable,FeeState,Card,MCC GroupName,Channel,CardState,CardToken,Server_Location,User_Location,StateID,Currency
23,TR00000000023,142-6121-F6351,2024-04-28,3953.01,DEPOSIT,Dillon,Combs,BANK_11777,PREMIUM,37.62,OVERDUE 15,Physical,RETAIL,FRAUD,SUSPENDED,7IXIMYB5VBP2IPA,GPS005,GPS002,WY,CRYPTO
24,TR00000000024,968-1533-T8507,2024-04-02,946.94,WITHDRAWAL,James,Boyd,DELIVERY_32608,PREMIUM,6.77,LEGAL,Virtual,ECOMMERCE,API,SUSPENDED,T1UQNEGOYE46XLW,GPS002,GPS004,MD,VENDORBUCKS
25,TR00000000025,326-5468-Y3523,2024-01-17,1775.35,WITHDRAWAL,Jennifer,Leonard,ECOMMERCE_61876,DISCOUNT,24.03,COLLECTIONS 1,Virtual,BANK,FRAUD,SUSPENDED,XT3AIG7YEMUD9LJ,GPS004,GPS003,AK,CRYPTO
26,TR00000000026,655-7188-X3072,2024-02-11,5088.1,TRANSFER,Loretta,Smith,BROKERAGE_70189,PREMIUM,24.81,HOLD,Virtual,ECOMMERCE,IVR,SUSPENDED,V7XJZ8S45PBEA6M,GPS002,GPS001,VA,CRYPTO
27,TR00000000027,600-5456-T1712,2024-04-30,4392.16,TRANSFER,James,Smith,ECOMMERCE_84346,SPECIAL,20.94,COLLECTIONS 1,Virtual,ECOMMERCE,API,TERMINATED,GR8OMRT6KU5NONR,GPS003,GPS005,HI,VENDORBUCKS
28,TR00000000028,288-3784-C4530,2024-01-06,6153.38,TRANSFER,Erin,Maxwell,RETAIL_91385,PREMIUM,8.54,HOLD,Virtual,BROKERAGE,IVR,SUSPENDED,P8YHQTYM9KWGF62,GPS004,GPS003,MN,VENDORBUCKS
29,TR00000000029,312-8623-O4707,2024-03-25,1781.97,REBATE,Kristin,Jensen,BROKERAGE_49986,SPECIAL,33.47,OVERDUE 45,Virtual,BANK,FRAUD,ACTIVE,YZXNGCLXGAXM183,GPS001,GPS005,MI,CRYPTO
30,TR00000000030,478-7621-U3817,2024-01-19,3673.9,WITHDRAWAL,Christina,Oliver,DELIVERY_80168,NORMAL,33.89,PAID,Physical,RETAIL,SYSTEM,SUSPENDED,LKRJLM72FQKJ5YW,GPS005,GPS001,SC,CRYPTO
31,TR00000000031,758-5278-E1060,2024-05-11,2950.94,DEPOSIT,John,Buchanan,RETAIL_38226,NORMAL,16.19,COLLECTIONS 2,Virtual,DELIVERY,SYSTEM,SUSPENDED,GYEOMPYLTMHWYZS,GPS004,GPS005,MS,CRYPTO
32,TR00000000032,709-8628-J3296,2024-03-20,2317.36,DEPOSIT,Sean,Bush,DELIVERY_18651,DISCOUNT,46.87,DISPUTE,Physical,BROKERAGE,IVR,ACTIVE,ZYHLL2HZ1VBWNXM,GPS003,GPS005,HI,CRYPTO
33,TR00000000033,528-4296-N9088,2024-02-09,2308.09,TRANSFER,Brian,Richardson,RETAIL_79258,SPECIAL,44.41,DISPUTE,Virtual,RETAIL,API,ACTIVE,T1D3QWFMEXU4F4S,GPS003,GPS003,MO,USDCASH
34,TR00000000034,700-6342-C5887,2024-04-29,3834.2,WITHDRAWAL,Elizabeth,Owens,BROKERAGE_51901,DISCOUNT,4.38,OVERDUE 30,Physical,RETAIL,FRAUD,SUSPENDED,AD6YMKLMDPAV9OG,GPS001,GPS005,NH,CRYPTO
35,TR00000000035,963-5521-P2773,2024-04-23,2589.78,REFUND,Kevin,Burke,ECOMMERCE_77237,DISCOUNT,39.1,LEGAL,Virtual,DELIVERY,SYSTEM,TERMINATED,XOKQ1AYFAINFYHX,GPS005,GPS004,ID,VENDORBUCKS
36,TR00000000036,878-9826-U4614,2024-02-19,1204.91,DEPOSIT,Morgan,Schwartz,RETAIL_97320,PREMIUM,21.67,OVERDUE 30,Physical,DELIVERY,ADMIN,ACTIVE,GREYNO5KRKDZRVB,GPS004,GPS002,IA,VENDORBUCKS
37,TR00000000037,594-9562-W3299,2024-02-21,2976.84,WITHDRAWAL,Cynthia,Martin,BANK_45961,PREMIUM,23.74,OVERDUE 45,Virtual,BANK,ADMIN,ACTIVE,EOUASIMOH5NKVVQ,GPS001,GPS002,SC,CRYPTO
38,TR00000000038,456-9970-I1546,2024-01-15,3264.76,WITHDRAWAL,Anna,Franklin,BANK_22086,NORMAL,35.91,LEGAL,Virtual,BROKERAGE,SYSTEM,SUSPENDED,BJ6YHFQTGBRPOHE,GPS005,GPS001,WA,CRYPTO
39,TR00000000039,424-5191-T6080,2024-02-03,540.01,TRANSFER,Cynthia,Williams,BROKERAGE_38885,SPECIAL,43.83,LEGAL,Virtual,ECOMMERCE,FRAUD,ACTIVE,DJ1I2BEMSUCODZ8,GPS005,GPS002,FL,CRYPTO
40,TR00000000040,885-4832-M6896,2024-01-23,615.36,DEPOSIT,Kelsey,Rollins,DELIVERY_97146,SPECIAL,43.72,COLLECTIONS 1,Virtual,DELIVERY,FRAUD,ACTIVE,UYKQ7JY9XNJURME,GPS001,GPS004,NM,CRYPTO
41,TR00000000041,414-2721-E1646,2024-01-25,6209.48,DEPOSIT,Christina,Newman,BROKERAGE_83824,SPECIAL,42.06,OVERDUE 15,Virtual,BANK,API,ACTIVE,5I0ND6I20BD0MDK,GPS002,GPS001,LA,USDCASH
42,TR00000000042,976-7197-Y3599,2024-02-27,435.43,WITHDRAWAL,Linda,Lawson,RETAIL_83420,SPECIAL,10.92,COLLECTIONS 1,Physical,DELIVERY,ADMIN,ACTIVE,YZ6IJWKLSN9ZPXW,GPS005,GPS003,CT,USDCASH
43,TR00000000043,743-8210-W5873,2024-02-20,2579.08,TRANSFER,Victoria,Mcdonald,RETAIL_67307,NORMAL,19.67,HOLD,Virtual,BANK,API,TERMINATED,QQY8WJAKP8BWD7Q,GPS001,GPS002,VA,CRYPTO
44,TR00000000044,512-3679-F4199,2024-03-15,4500.2,REBATE,Catherine,Graham,RETAIL_56452,SPECIAL,49.01,OVERDUE 15,Virtual,ECOMMERCE,IVR,ACTIVE,VXWATYZMCWV06GH,GPS005,GPS004,NH,USDCASH
45,TR00000000045,365-8844-G4053,2024-02-22,5837.98,REBATE,Sean,King,DELIVERY_25955,NORMAL,42.45,OVERDUE 15,Virtual,RETAIL,ADMIN,SUSPENDED,AA7J1KOBAOFIJAD,GPS003,GPS005,AZ,VENDORBUCKS
46,TR00000000046,494-4754-A5427,2024-01-06,1109.44,TRANSFER,Antonio,Huynh,BANK_93168,DISCOUNT,35.38,COLLECTIONS 1,Virtual,BROKERAGE,FRAUD,SUSPENDED,JV3WGLDIN7JMVWC,GPS001,GPS001,WI,VENDORBUCKS
47,TR00000000047,892-8594-I7079,2024-03-26,5183.46,TRANSFER,John,Anderson,BANK_12484,SPECIAL,31.52,OVERDUE 30,Physical,ECOMMERCE,FRAUD,SUSPENDED,GMXLZFDWVNZ1EEH,GPS004,GPS003,NM,VENDORBUCKS
48,TR00000000048,934-2761-A6021,2024-05-03,2942.86,REBATE,Dale,Martin,ECOMMERCE_74385,SPECIAL,14.83,COLLECTIONS 2,Physical,BROKERAGE,FRAUD,TERMINATED,BPC9PP7MJFQIVE8,GPS005,GPS004,OK,CRYPTO
49,TR00000000049,577-8453-V8702,2024-03-12,1474.98,TRANSFER,John,Wright,ECOMMERCE_63590,DISCOUNT,37.83,OVERDUE 45,Physical,RETAIL,IVR,TERMINATED,KML7FP1XNZD5XYN,GPS001,GPS003,NJ,CRYPTO
50,TR00000000050,540-6678-H8675,2024-01-01,5206.27,WITHDRAWAL,Alexandra,Pierce,ECOMMERCE_21385,NORMAL,25.02,COLLECTIONS 1,Virtual,BROKERAGE,FRAUD,SUSPENDED,FW6L5S8ZSMLPIUJ,GPS004,GPS004,NE,USDCASH
51,TR00000000051,374-9740-Y1349,2024-03-19,2604.88,DEPOSIT,Rachel,Miller,DELIVERY_69958,DISCOUNT,35.72,LEGAL,Physical,BANK,IVR,ACTIVE,BE6HA0DRWPTRMJJ,GPS005,GPS002,RI,USDCASH
52,TR00000000052,320-2942-M4218,2024-03-31,2484.26,TRANSFER,Danielle,Young,DELIVERY_94058,DISCOUNT,19.69,OVERDUE 45,Physical,DELIVERY,SYSTEM,TERMINATED,81MO4MRRFSFCZUO,GPS004,GPS005,AR,VENDORBUCKS
53,TR00000000053,668-5672-O7485,2024-03-24,5774.93,REBATE,Jill,Gallegos,BANK_47158,DISCOUNT,48.32,OVERDUE 30,Virtual,DELIVERY,FRAUD,SUSPENDED,MHLAWRYKZ61G77S,GPS002,GPS001,NY,VENDORBUCKS
54,TR00000000054,668-1514-D8135,2024-04-09,2430.11,TRANSFER,Isaac,Bennett,DELIVERY_17245,NORMAL,18.51,DISPUTE,Virtual,ECOMMERCE,FRAUD,TERMINATED,KSD1ULAX9HAGR7B,GPS005,GPS001,OK,USDCASH
55,TR00000000055,685-1701-V1449,2024-01-01,3347.14,DEPOSIT,Kimberly,Sanchez,RETAIL_16563,PREMIUM,22.91,OVERDUE 30,Virtual,BANK,IVR,TERMINATED,QFX0UMZXH6LQUP3,GPS005,GPS002,RI,USDCASH
56,TR00000000056,954-7689-Q6454,2024-03-30,3475.85,WITHDRAWAL,Brandon,Simpson,BANK_10569,PREMIUM,26.38,OVERDUE 45,Virtual,BROKERAGE,FRAUD,SUSPENDED,JPDASI1CCURAJGB,GPS005,GPS002,CO,VENDORBUCKS
57,TR00000000057,472-1060-V9807,2024-02-22,5454.04,DEPOSIT,Catherine,Miranda,ECOMMERCE_32242,SPECIAL,36.21,LEGAL,Physical,DELIVERY,API,ACTIVE,DIEPC32VTMVVRSL,GPS005,GPS002,IN,USDCASH
58,TR00000000058,527-8924-W6329,2024-04-01,5200.41,WITHDRAWAL,Lisa,Hampton,BROKERAGE_27308,DISCOUNT,35.2,LEGAL,Virtual,BANK,API,SUSPENDED,BDAEAT6UIBBHRDS,GPS003,GPS002,OH,VENDORBUCKS
59,TR00000000059,549-9865-Y8080,2024-02-21,6075.81,WITHDRAWAL,Benjamin,Thornton,BANK_24200,DISCOUNT,12.52,HOLD,Physical,DELIVERY,FRAUD,SUSPENDED,KTHGMM4DVWEKEBY,GPS001,GPS001,MN,USDCASH
60,TR00000000060,869-5535-A5874,2024-03-18,4919.67,TRANSFER,Jennifer,Macdonald,BROKERAGE_21166,DISCOUNT,41.32,OVERDUE 15,Virtual,BANK,IVR,ACTIVE,FWXNDJYVHNUAKC3,GPS002,GPS003,IA,USDCASH
61,TR00000000061,594-3868-Q8622,2024-05-15,3335.39,TRANSFER,Gina,Taylor,BROKERAGE_54393,DISCOUNT,14.77,OVERDUE 30,Physical,RETAIL,API,TERMINATED,XKFB2PFDDPGLEBC,GPS005,GPS005,OR,USDCASH
62,TR00000000062,890-9624-A1560,2024-04-03,5444.32,REBATE,Meredith,Morrow,ECOMMERCE_34484,DISCOUNT,31.23,OVERDUE 45,Virtual,BROKERAGE,FRAUD,SUSPENDED,1Q2VO6N9KJQDQBT,GPS002,GPS003,IN,VENDORBUCKS
63,TR00000000063,922-8845-A2247,2024-03-07,736.14,REFUND,Kayla,Joseph,DELIVERY_42884,NORMAL,42.71,COLLECTIONS 2,Virtual,ECOMMERCE,IVR,SUSPENDED,3EOWXRBHOFVRBLV,GPS002,GPS005,FL,VENDORBUCKS
64,TR00000000064,384-5682-G7108,2024-02-23,3089.61,WITHDRAWAL,Lauren,Odom,BROKERAGE_51170,SPECIAL,37.7,COLLECTIONS 2,Virtual,BANK,FRAUD,TERMINATED,LVUHFCDIS1RDJ5I,GPS003,GPS004,KS,CRYPTO
65,TR00000000065,470-6019-B7981,2024-01-03,5365.4,REFUND,Randy,Anderson,ECOMMERCE_23097,NORMAL,45.75,OVERDUE 15,Virtual,BROKERAGE,API,SUSPENDED,7VIAINDOCHFDIQQ,GPS002,GPS004,NM,VENDORBUCKS
66,TR00000000066,908-3240-D9722,2024-04-19,2028.23,TRANSFER,Michael,Taylor,RETAIL_37360,NORMAL,13.79,DISPUTE,Physical,RETAIL,API,TERMINATED,1XJCNQL7HGXDK1P,GPS002,GPS001,AZ,VENDORBUCKS
67,TR00000000067,123-7717-C6936,2024-03-01,1202.31,TRANSFER,Caitlin,Smith,BROKERAGE_88442,DISCOUNT,12.28,HOLD,Physical,BANK,IVR,TERMINATED,2JNJVECGOGXB6AY,GPS003,GPS005,WA,CRYPTO
68,TR00000000068,794-4718-T9497,2024-05-12,4021.52,DEPOSIT,Rebekah,Thomas,BROKERAGE_37422,SPECIAL,47.07,PAID,Physical,BROKERAGE,ADMIN,ACTIVE,BHVTC6ZHFPVJCTS,GPS002,GPS003,GA,USDCASH
69,TR00000000069,638-9638-M4709,2024-03-03,333.61,REFUND,Victoria,Mann,DELIVERY_62903,DISCOUNT,44.48,OVERDUE 15,Virtual,BANK,SYSTEM,SUSPENDED,TQK7VNIGKIDBXFP,GPS004,GPS005,KS,VENDORBUCKS
70,TR00000000070,571-6787-J7629,2024-02-19,250.35,TRANSFER,Matthew,Stone,RETAIL_15583,NORMAL,24.48,COLLECTIONS 2,Virtual,BANK,API,TERMINATED,OEHEDSKGWMBWCC2,GPS002,GPS001,WA,USDCASH
71,TR00000000071,417-9678-I7608,2024-03-06,19.81,DEPOSIT,Chad,Cook,ECOMMERCE_79955,PREMIUM,1.05,LEGAL,Virtual,ECOMMERCE,API,ACTIVE,HRGBOBDCI07OHIF,GPS004,GPS003,TN,VENDORBUCKS
72,TR00000000072,195-9978-J8377,2024-05-11,2632.28,REBATE,Melody,Phillips,DELIVERY_16551,NORMAL,29.92,COLLECTIONS 2,Physical,BROKERAGE,API,SUSPENDED,EGZYEXSDG7BNGJH,GPS005,GPS002,AK,USDCASH
73,TR00000000073,449-9458-L3788,2024-01-12,3877.35,DEPOSIT,Colin,Todd,RETAIL_57971,NORMAL,42.28,OVERDUE 45,Physical,DELIVERY,API,SUSPENDED,NPYZDRON4SIIRWQ,GPS003,GPS001,CO,VENDORBUCKS
74,TR00000000074,500-8037-L8840,2024-03-09,4895.07,TRANSFER,Jimmy,Cline,RETAIL_30844,DISCOUNT,24.86,OVERDUE 30,Virtual,DELIVERY,SYSTEM,ACTIVE,9NGTKUVNYRZ2YXQ,GPS004,GPS003,KS,VENDORBUCKS
75,TR00000000075,181-5983-D2093,2024-02-15,203.36,WITHDRAWAL,Brandon,Miller,ECOMMERCE_94753,NORMAL,38.6,COLLECTIONS 1,Virtual,RETAIL,FRAUD,TERMINATED,SYJYOHQYYXDXSJL,GPS002,GPS004,ME,VENDORBUCKS
76,TR00000000076,707-9004-S3765,2024-01-02,1482.03,WITHDRAWAL,Robert,Gonzalez,RETAIL_25066,DISCOUNT,44.26,COLLECTIONS 1,Virtual,ECOMMERCE,API,TERMINATED,LEGOAGF2QTLRPFG,GPS004,GPS002,FL,CRYPTO
77,TR00000000077,563-5861-F2754,2024-04-26,3167.97,WITHDRAWAL,Valerie,Payne,BROKERAGE_72461,PREMIUM,43.31,DISPUTE,Virtual,BROKERAGE,IVR,ACTIVE,ODWNTIJ47LX6JSQ,GPS001,GPS002,IA,CRYPTO
78,TR00000000078,395-9086-T6661,2024-03-30,5227.2,DEPOSIT,Michael,Reed,BROKERAGE_18838,SPECIAL,29.34,OVERDUE 30,Virtual,BANK,FRAUD,SUSPENDED,RLTJKKH4A3WASFN,GPS004,GPS003,MI,USDCASH
79,TR00000000079,599-2976-V6635,2024-03-26,2393.38,WITHDRAWAL,Gary,Peterson,BANK_76913,SPECIAL,22.61,LEGAL,Physical,BANK,API,TERMINATED,UTN6QBIRTJMYRUN,GPS002,GPS001,NC,VENDORBUCKS
80,TR00000000080,795-7433-Q6848,2024-04-01,4638.22,DEPOSIT,Michael,Gibson,ECOMMERCE_97894,DISCOUNT,37.23,OVERDUE 45,Physical,ECOMMERCE,FRAUD,ACTIVE,SXRVGBB7PNUESXN,GPS004,GPS002,LA,CRYPTO
81,TR00000000081,973-1680-M3324,2024-05-12,4107.81,WITHDRAWAL,Jeffrey,Gibson,BANK_37518,DISCOUNT,17.14,LEGAL,Physical,ECOMMERCE,IVR,SUSPENDED,CDG71TJRWRDAC2L,GPS001,GPS001,IN,CRYPTO
82,TR00000000082,855-9725-I8649,2024-02-27,148.83,WITHDRAWAL,Vincent,Morse,RETAIL_23272,PREMIUM,25.52,COLLECTIONS 2,Physical,ECOMMERCE,FRAUD,ACTIVE,SXB8A98J294RRQT,GPS003,GPS003,RI,CRYPTO
83,TR00000000083,920-4154-W4684,2024-03-13,6159.83,WITHDRAWAL,Jesus,Rios,DELIVERY_76723,NORMAL,26.51,COLLECTIONS 2,Physical,BANK,IVR,ACTIVE,KS7PAJLMNYEQ8YW,GPS005,GPS001,PA,CRYPTO
84,TR00000000084,204-8297-W8048,2024-03-13,5720.47,REBATE,Anthony,Gonzales,RETAIL_98685,PREMIUM,30.94,COLLECTIONS 2,Physical,ECOMMERCE,SYSTEM,SUSPENDED,YQY5DOEEPF6TQPA,GPS001,GPS003,OH,CRYPTO
85,TR00000000085,173-8570-K5984,2024-03-08,4186.74,TRANSFER,Tyler,Taylor,BANK_57518,NORMAL,39.98,HOLD,Virtual,DELIVERY,FRAUD,TERMINATED,SAR6VPWSQJAB8CS,GPS002,GPS005,MT,USDCASH
86,TR00000000086,691-4028-S3995,2024-01-29,2936.02,TRANSFER,Joseph,Byrd,BROKERAGE_53602,SPECIAL,42.6,HOLD,Physical,BROKERAGE,API,ACTIVE,PIWES8YDRDUBXIM,GPS003,GPS002,NH,CRYPTO
87,TR00000000087,380-5581-Y2275,2024-01-16,5614.24,DEPOSIT,Amanda,Thomas,BROKERAGE_28180,NORMAL,31.94,COLLECTIONS 1,Virtual,DELIVERY,API,TERMINATED,TFZICA0IDEE9EO2,GPS003,GPS003,DE,USDCASH
88,TR00000000088,455-1971-R4504,2024-02-21,2425.39,REBATE,Max,Woodard,ECOMMERCE_89748,NORMAL,21.13,OVERDUE 30,Virtual,BROKERAGE,FRAUD,ACTIVE,M4PMM3UFGM7FETA,GPS004,GPS005,FL,USDCASH
89,TR00000000089,475-9770-K2969,2024-04-02,808.92,REFUND,Emily,Stevens,BANK_88914,SPECIAL,20.43,OVERDUE 15,Physical,RETAIL,SYSTEM,ACTIVE,ZJJ7E1M94LKYGXB,GPS004,GPS004,OR,CRYPTO
90,TR00000000090,329-8798-P6874,2024-01-20,1502.29,TRANSFER,David,Gallegos,RETAIL_63779,SPECIAL,6.46,OVERDUE 15,Virtual,RETAIL,SYSTEM,ACTIVE,MESUMUP7JZJTRBT,GPS005,GPS003,MI,VENDORBUCKS
91,TR00000000091,173-7361-M6515,2024-04-19,4941.21,REFUND,Christopher,Pittman,BROKERAGE_57209,PREMIUM,44.94,OVERDUE 15,Physical,ECOMMERCE,API,TERMINATED,QA9P4FBZIJCW2IE,GPS001,GPS004,HI,VENDORBUCKS
92,TR00000000092,762-4225-V8691,2024-02-22,633.21,DEPOSIT,Russell,Russell,ECOMMERCE_25156,NORMAL,7.03,OVERDUE 45,Virtual,BANK,FRAUD,TERMINATED,RDQACMSCPTBIBMA,GPS001,GPS002,AK,VENDORBUCKS
93,TR00000000093,215-6471-Q1213,2024-01-14,2944.58,TRANSFER,Brenda,Bell,BROKERAGE_39701,DISCOUNT,45.77,OVERDUE 30,Virtual,RETAIL,SYSTEM,SUSPENDED,PHLYXLB38MKI566,GPS005,GPS002,WV,CRYPTO
94,TR00000000094,382-1795-M5212,2024-01-16,4949.32,REBATE,Alexa,Butler,BANK_25929,DISCOUNT,3.55,OVERDUE 30,Virtual,BROKERAGE,ADMIN,TERMINATED,K9IFWVRDMACT1LY,GPS004,GPS004,WY,VENDORBUCKS
95,TR00000000095,120-7071-N4061,2024-01-19,6477.09,WITHDRAWAL,Philip,Beltran,BANK_28756,SPECIAL,13.08,OVERDUE 30,Physical,BANK,API,SUSPENDED,TGAT9A1A1NCQ3EZ,GPS003,GPS003,MI,USDCASH
96,TR00000000096,832-8580-U7086,2024-04-02,3172.42,TRANSFER,Tina,Grant,BANK_19022,DISCOUNT,21.06,HOLD,Physical,BANK,ADMIN,SUSPENDED,GUILBJGHPCVSFQQ,GPS002,GPS002,MS,USDCASH
97,TR00000000097,825-8031-N3078,2024-03-11,6490.33,TRANSFER,Donald,Williams,ECOMMERCE_62080,NORMAL,48.04,PAID,Physical,BANK,SYSTEM,SUSPENDED,VHLAMNYUVRDN7LA,GPS005,GPS005,PA,CRYPTO
98,TR00000000098,480-9204-P9860,2024-04-12,3493.94,TRANSFER,Lance,Marquez,BROKERAGE_74037,SPECIAL,16.62,OVERDUE 15,Physical,DELIVERY,SYSTEM,TERMINATED,KVGIGYVN5XSVPDK,GPS005,GPS004,MN,USDCASH
99,TR00000000099,573-3488-B8844,2024-01-04,297.06,DEPOSIT,George,Johnson,RETAIL_84852,NORMAL,24.68,OVERDUE 30,Virtual,ECOMMERCE,FRAUD,TERMINATED,EWOFYLTICGL4ANZ,GPS001,GPS001,CT,CRYPTO
100,TR000000000100,155-6944-T2082,2024-02-17,385.72,DEPOSIT,Tony,Garcia,RETAIL_92758,PREMIUM,34.02,COLLECTIONS 2,Physical,BANK,IVR,TERMINATED,IJFGTALVZUEJFVZ,GPS001,GPS004,MA,CRYPTO
